;;;[Cd] = 11.08 ± 1.2 µg.L-1;;;;[Hg] = 0.27 ± 0.13 µg.L-1;;
Organs / links ;Parameters;Priors;Median;Percentiles;;;Median;Percentiles;
;;;;2.50%;97.50%;;;2.50%;97.50%
Water - Intestines;ku,1;log10.Unif (-5,5);3342;2720;3707;;4640;3890;5272
Intestines - Water;ke,1;;0.54;0.415;1.402;;0.102;0.06;0.141
Intestines - Caeca;k12;;0.873;0.603;1.739;;1.023;0.622;1.35
Caeca - Intestines;k21;;0.218;0.132;0.376;;1.784;0.872;2.312
Intestines - Cephalons;k13;;0.059;0.034;0.124;;0.515;0.269;0.653
Cephalons - Intestines;k31;;0.262;0.124;0.871;;2.303;0.757;2.967
Intestines - Residues;k14;;0.069;0.049;0.126;;0.552;0.405;0.714
Residues - Intestines;k41;;0.14;0.086;0.238;;1.639;0.999;2.145
Intestines;s1;Gamma (0.001, 0.001);8.974;6.469;15.28;;0.743;0.556;1.053
Caeca;s2;;17.94;13.07;26.84;;0.434;0.323;0.615
Cephalons;s3;;1.223;0.863;1.818;;0.076;0.056;0.113
Residues;s4;;1.468;1.06;2.242;;0.068;0.05;0.099